,index,areaWithType,square_feet,transaction,status,furnishing,facing,price_per_sqft,price,current_floor,total_floor,BHK,area
2118,4374,2,6095,1,Poss. by Dec '26,1,3,9000,54855000,9.0,13,4,Avadh
2119,4375,2,3376,1,Poss. by Dec '26,1,3,5940,20053440,5.0,13,4,Milestone
2120,4376,1,2600,1,Ready to Move,1,5,6200,16120000,5.0,13,4,Roongta
2121,4378,2,4200,1,Poss. by Jun '24,1,3,7381,31000200,7.0,13,4,Atlanta
2122,4379,2,3700,1,Poss. by Mar '25,1,3,6000,22200000,6.0,13,4,Vesu
2123,4380,1,1925,1,Poss. by Dec '25,1,5,6500,12512500,5.0,12,4,Millionaires
2124,4381,2,4100,1,Ready to Move,1,4,7000,28700000,10.0,12,4,Rajhans
2125,4382,2,3398,1,Poss. by Dec '24,1,3,5991,20357418,5.0,14,4,Happy
2126,4383,1,1456,1,Ready to Move,1,5,6000,8736000,4.0,13,3,Rajhans
2127,4385,2,4100,1,Poss. by Jun '24,1,3,6488,26600800,7.0,13,4,Rajhans
2128,4386,2,4600,1,Poss. by Mar '25,1,3,6000,27600000,6.0,13,4,Vesu
2129,4387,2,4150,2,Ready to Move,1,3,7500,31125000,2.0,19,4,Sangini
2130,4388,2,2650,1,Poss. by Dec '24,1,3,6302,16700300,7.0,13,3,Sangini
2131,4391,2,3693,1,Poss. by Jun '24,1,3,5497,20300421,8.0,13,4,Laxmi
2132,4392,2,3550,1,Poss. by Mar '25,1,3,6000,21300000,6.0,13,4,Vesu
2133,4393,2,7535,1,Ready to Move,1,3,6800,51238000,5.0,12,5,Rajgreen
2134,4394,2,4800,1,Poss. by Dec '26,1,3,7375,35400000,8.0,12,4,Rajhans
2135,4397,2,6200,1,Poss. by Jun '24,1,3,7500,46500000,6.0,13,5,Sangini
2136,4398,2,3650,1,Poss. by Mar '25,1,3,6000,21900000,6.0,13,4,Vesu
2137,4399,2,9450,2,Ready to Move,1,5,4794,45303300,7.0,19,5,"Expressions,"
2138,4400,2,2800,1,Poss. by May '25,1,4,6071,16998800,10.0,12,3,Rajhans
2139,4403,2,3100,1,Poss. by Jan '25,1,8,6490,20119000,5.0,12,4,The
2140,4404,2,2505,1,Poss. by Dec '24,1,8,6111,15308055,5.0,12,3,Freedom
2141,4405,2,6500,1,Ready to Move,1,1,5000,32500000,6.0,12,5,Aakash
2142,4406,2,3550,1,Poss. by Dec '26,1,3,6958,24700900,8.0,12,4,"Agastya,"
2143,4408,2,3830,1,Ready to Move,1,3,6527,24998410,6.0,12,4,White
2144,4409,2,3800,1,Poss. by Jan '25,1,8,6490,24662000,5.0,12,4,The
2145,4410,2,2487,1,Poss. by Dec '24,1,8,6111,15198057,6.0,12,3,Freedom
2146,4411,1,3410,1,Poss. by Jun '27,1,7,7500,25575000,5.0,16,5,Sangini
2147,4412,2,2600,1,Poss. by Jul '24,1,3,6200,16120000,7.0,12,3,sangini
2148,4413,2,3336,1,Poss. by Jan '25,1,8,7051,23522136,4.0,12,4,"Agastya,"
2149,4414,2,3047,1,Poss. by Dec '24,1,8,6111,18620217,5.0,12,4,Freedom
2150,4416,2,7150,1,Ready to Move,1,3,8531,60996650,2.0,12,5,Surya
2151,4417,2,3450,1,Poss. by Jan '25,1,8,7500,25875000,5.0,13,4,Pramukh
2152,4418,2,2587,1,Poss. by Dec '24,1,3,6111,15809157,6.0,12,3,Freedom
2153,4419,2,4500,2,Ready to Move,1,1,6667,30001500,6.0,13,4,Green
2154,4420,2,3810,1,Poss. by Jul '24,1,3,6191,23587710,5.0,13,4,The
